permno,date,year,exchcd,siccd,retadj,eretadj,altprc_lag1,ME_lag1,ME_Jun,BM
83413,20121231,2012,3,7370,-0.002832836,-0.002932836,10.590000153,1460.795211,1388.6730979,0.2759429302
83414,20121231,2012,3,6020,0.0307855587,0.0306855587,18.840000153,469.1348438,447.966,1.055137493
83421,20121231,2012,1,2026,-0.03675608,-0.03685608,17.13999939,3174.8935069,3142.0521567,0.0919307649
83422,20121231,2012,3,7376,0.0381992087,0.0380992087,14.659999847,641.93207332,697.21640334,0.8395027565
83435,20121231,2012,3,7375,0.0602024049,0.0601024049,18.770000458,22199.054301,18903.346919,0.661409025
83462,20121231,2012,1,3089,-0.006013878,-0.006113878,64.849998474,3585.7509656,3061.8505462,0.1698432631
83469,20121231,2012,3,4940,0.0799229592,0.0798229592,20.770000458,162.35909358,167.58120712,1.0661973315
83503,20121231,2012,3,3840,-0.002354268,-0.002454268,16.989999771,226.10291695,222.53790607,0.7332644261
83504,20121231,2012,3,6035,0.1079545245,0.1078545245,8.8000001907,169.86640368,156.35430736,0.8261644858
83509,20121231,2012,1,8742,0.0676156655,0.0675156655,30.909999847,1281.8686037,1206.8675,0.6871576794
83520,20121231,2012,3,3942,0.0112180226,0.0111180226,12.479999542,274.78462992,416.61222596,1.0752215505
83529,20121231,2012,3,7999,-0.004736109,-0.004836109,14.779999733,418.27399244,388.766,0.5388419754
83534,20121231,2012,3,8730,0,-0.0001,7.4800000191,496.55980127,523.59639874,0.1279038949
83541,20121231,2012,3,2830,0.0007949855,0.0006949855,75.470001221,5067.961522,4308.1526521,0.3448055624
83547,20121231,2012,3,6020,0.0752582178,0.0751582178,10.174300194,80.85516364,58.336949243,3.495080502
83558,20121231,2012,1,8361,-0.004155088,-0.004255088,14.43999958,842.9927355,424.24154778,0.3120235526
83565,20121231,2012,3,6150,-0.006768183,-0.006868183,11.819999695,253.69265345,227.83085754,0.8504881553
83575,20121231,2012,3,3840,0.095238097,0.095138097,0.6299999952,13.093289901,11.333629719,0.3065544072
83597,20121231,2012,1,7389,-0.046866566,-0.046966566,92.38999939,4089.181373,4174.5860897,0.1316336503
83601,20121231,2012,1,3411,0.1196944118,0.1195944118,23.559999466,1646.3727627,1390.0357734,0.6692365854
83602,20121231,2012,1,3695,0.0911214575,0.0910214575,4.2800002098,164.36056806,227.73002412,3.3141184863
83616,20121231,2012,3,8731,-0.048048005,-0.048148005,3.3299999237,235.40102461,331.17497404,0.9537652157
83621,20121231,2012,3,7370,0.015226813,0.015126813,66.330001831,6144.6787096,5826.4414763,0.3497369082
83630,20121231,2012,3,7373,-0.016501714,-0.016601714,9.0900001526,42.459390713,54.067768401,1.0044955444
83633,20121231,2012,3,3840,-0.028649392,-0.028749392,14.659999847,908.28961055,946.96605426,0.1163769831
