PERMNO,date,TICKER,COMNAM,RET,RETX
11308,2019-01-31,KO,COCA COLA CO,0.016473,0.016473
11308,2019-02-28,KO,COCA COLA CO,-0.057968,-0.057968
11308,2019-03-29,KO,COCA COLA CO,0.042347,0.033524
11308,2019-04-30,KO,COCA COLA CO,0.046948,0.046948
11308,2019-05-31,KO,COCA COLA CO,0.001427,0.001427
11308,2019-06-28,KO,COCA COLA CO,0.044576,0.036434
11308,2019-07-31,KO,COCA COLA CO,0.033582,0.033582
11308,2019-08-30,KO,COCA COLA CO,0.045791,0.045791
11308,2019-09-30,KO,COCA COLA CO,-0.003634,-0.010901
11308,2019-10-31,KO,COCA COLA CO,-0.000184,-0.000184
11308,2019-11-29,KO,COCA COLA CO,-0.011574,-0.018923
11308,2019-12-31,KO,COCA COLA CO,0.036517,0.036517
11308,2020-01-31,KO,COCA COLA CO,0.055104,0.055104
11308,2020-02-28,KO,COCA COLA CO,-0.084075,-0.084075
11308,2020-03-31,KO,COCA COLA CO,-0.165078,-0.172743
11308,2020-04-30,KO,COCA COLA CO,0.037062,0.037062
11308,2020-05-29,KO,COCA COLA CO,0.017215,0.017215
11308,2020-06-30,KO,COCA COLA CO,-0.034062,-0.042845
11308,2020-07-31,KO,COCA COLA CO,0.057296,0.057296
11308,2020-08-31,KO,COCA COLA CO,0.048476,0.048476
11308,2020-09-30,KO,COCA COLA CO,0.005047,-0.003230
11308,2020-10-30,KO,COCA COLA CO,-0.026534,-0.026534
11308,2020-11-30,KO,COCA COLA CO,0.082189,0.073658
11308,2020-12-31,KO,COCA COLA CO,0.062791,0.062791
11308,2021-01-29,KO,COCA COLA CO,-0.121991,-0.121991
11308,2021-02-26,KO,COCA COLA CO,0.017445,0.017445
11308,2021-03-31,KO,COCA COLA CO,0.084507,0.075934
11308,2021-04-30,KO,COCA COLA CO,0.024094,0.024094
11308,2021-05-28,KO,COCA COLA CO,0.024268,0.024268
11308,2021-06-30,KO,COCA COLA CO,-0.013746,-0.021342
